Date,Adj Close GLD,Adj Close IEF,Adj Close SPY
11/19/04,44.779999,59.386239,91.572499
11/22/04,44.950001,59.42801,92.009231
11/23/04,44.75,59.372312,92.149608
11/24/04,45.049999,59.455859,92.367971
11/26/04,45.290001,59.240032,92.297779
11/29/04,45.400002,58.884971,91.876648
11/30/04,45.119999,58.829274,91.939039
12/1/04,45.380001,58.809715,92.98407
12/2/04,44.950001,58.677023,93.062056
12/3/04,45.599998,59.263657,92.999665
12/6/04,45.169998,59.375393,92.968469
12/7/04,45.110001,59.368413,92.102812
12/8/04,44.009998,59.808384,92.640925
12/9/04,43.779999,59.668712,92.968469
12/10/04,43.439999,59.759499,93.062056
12/13/04,43.91,59.801399,93.873123
12/14/04,43.549999,59.906156,94.200668
12/15/04,43.990002,60.122648,94.270853
12/16/04,43.68,59.661727,94.216262
12/17/04,44.189999,59.584906,93.58785
12/20/04,44.34,59.654742,93.611356
12/21/04,44.220001,59.738548,94.332226
12/22/04,44.02,59.675692,94.559457
12/23/04,44.27,59.598871,94.629974
12/27/04,44.48,59.347463,94.434086
12/28/04,44.369999,59.340478,94.951235
12/29/04,43.66,59.221756,95.092275
12/30/04,43.830002,59.445234,94.912055
12/31/04,43.799999,59.51599,94.708335
1/3/05,43.02,59.635097,94.261708
1/4/05,42.740002,59.263774,93.109881
1/5/05,42.669998,59.361863,92.467366
1/6/05,42.150002,59.417907,92.937498
1/7/05,41.84,59.368865,92.804295
1/10/05,41.950001,59.361863,93.243084
1/11/05,42.209999,59.480964,92.600569
1/12/05,42.599998,59.57204,92.906155
1/13/05,42.599998,59.810247,92.16178
1/14/05,42.32,59.775215,92.64758
1/18/05,42.32,59.754197,93.611356
1/19/05,42.259998,59.789224,92.631912
1/20/05,42.25,59.894315,92.067751
1/21/05,42.740002,60.013421,91.50359
1/24/05,42.77,60.006414,91.323376
1/25/05,42.240002,59.782222,91.581945
1/26/05,42.689999,59.796232,91.856194
1/27/05,42.619999,59.705156,92.012903
1/28/05,42.689999,60.013421,92.012903
1/31/05,42.220001,60.034439,92.584901
2/1/05,42.099998,59.992978,93.172567
2/2/05,42.16,60.000001,93.454641
2/3/05,41.68,59.901618,93.211741
2/4/05,41.470001,60.210826,94.20686
2/7/05,41.27,60.33029,94.081488
2/8/05,41.259998,60.386511,94.191185
2/9/05,41.310001,60.681661,93.485984
2/10/05,41.75,60.30218,93.822913
2/11/05,42.080002,60.224878,94.629974
2/14/05,42.549999,60.30218,94.559457
2/15/05,42.580002,60.210826,94.912055
2/16/05,42.52,59.992978,94.974741
2/17/05,42.73,59.859455,94.20686
2/18/05,42.75,59.557277,94.332226
2/22/05,43.57,59.564306,92.929661
2/23/05,43.419998,59.613497,93.595682
2/24/05,43.330002,59.515114,94.214691
2/25/05,43.5,59.599439,95.147124
2/28/05,43.529999,59.212935,94.520277
3/1/05,43.220001,59.213641,94.990415
3/2/05,43.25,59.206592,94.943398
3/3/05,42.970001,59.171362,94.982578
3/4/05,43.380001,59.439136,96.165748
3/7/05,43.470001,59.453232,96.21276
3/8/05,44.029999,59.171362,95.852325
3/9/05,44.02,58.720372,94.786689
3/10/05,44.200001,58.826074,94.998246
3/11/05,44.43,58.579434,94.332226
3/14/05,44.029999,58.720372,94.919892
3/15/05,44.060001,58.607622,94.136337
3/16/05,44.310001,58.741511,93.337113
3/17/05,43.82,58.967006,93.525165
3/18/05,43.889999,58.819026,93.247485
3/21/05,43.09,58.748559,92.901365
3/22/05,42.650002,58.318709,91.957408
3/23/05,42.419998,58.452593,92.03607
3/24/05,42.389999,58.50192,92.146198
3/28/05,42.540001,58.311661,92.279924
3/29/05,42.560001,58.551247,91.666351
3/30/05,42.610001,58.685136,92.964297
3/31/05,42.82,58.974055,92.791237
4/1/05,42.619999,59.093539,92.374322
4/4/05,42.400002,59.065257,92.531646
4/5/05,42.450001,59.072329,92.972165
4/6/05,42.630001,59.249086,93.294681
4/7/05,42.57,59.022837,93.798126
4/8/05,42.689999,59.086467,92.822703
4/11/05,42.779999,59.263224,92.893497
4/12/05,42.84,59.574319,93.373344
4/13/05,42.900002,59.602601,92.272062
4/14/05,42.310001,59.758143,91.068508
4/15/05,42.400002,60.147011,89.794167
4/18/05,42.689999,60.019746,90.069487
4/19/05,43.279999,60.366189,90.785326
4/20/05,43.400002,60.330841,89.518846
4/21/05,43.189999,59.899552,91.257305
4/22/05,43.389999,60.154083,90.911184
4/25/05,43.439999,60.154083,91.509027
4/26/05,43.639999,60.125801,90.620128
4/27/05,43.200001,60.309631,90.974116
4/28/05,43,60.677284,89.833495
4/29/05,43.349998,60.458106,91.052778
5/2/05,42.880001,60.519813,91.564091
5/3/05,42.759998,60.597831,91.721415
5/4/05,42.900002,60.583643,92.429386
5/5/05,42.91,60.775142,92.39792
5/6/05,42.52,60.342502,92.106864
5/9/05,42.549999,60.335408,92.681109
5/10/05,42.639999,60.548184,91.721415
5/11/05,42.689999,60.626201,92.22486
5/12/05,42.16,60.682936,91.210103
5/13/05,41.950001,60.838971,91.02918
5/16/05,41.880001,60.846065,91.878745
5/17/05,41.860001,60.924082,92.492318
5/18/05,42.049999,61.12267,93.444144
5/19/05,41.98,60.938265,93.83746
5/20/05,41.650002,60.931176,93.703734
5/23/05,41.619999,61.207781,94.222909
5/24/05,41.73,61.370904,94.002652
5/25/05,41.869999,61.15104,93.931858
5/26/05,41.689999,61.186499,94.435303
5/27/05,41.880001,61.250334,94.592627
5/31/05,41.650002,61.569492,93.986922
6/1/05,41.529999,61.949386,94.789285
6/2/05,42.099998,61.928044,94.993812
6/3/05,42.169998,61.57234,94.513965
6/6/05,42.48,61.735961,94.427435
6/7/05,42.380001,61.913813,94.498229
6/8/05,42.34,61.799991,94.325175
6/9/05,42.27,61.764418,94.773555
6/10/05,42.619999,61.373142,94.553293
6/13/05,42.779999,61.209521,94.852218
6/14/05,42.599998,61.138381,95.072474
6/15/05,42.740002,61.11704,95.253396
6/16/05,43.459999,61.309118,95.497256
6/17/05,43.630001,61.237978,95.851089
6/20/05,43.66,61.145491,95.882682
6/21/05,43.810001,61.337575,95.937968
6/22/05,43.720001,61.799991,96.016948
6/23/05,44.02,61.735961,94.666377
6/24/05,43.900002,61.885356,93.971348
6/27/05,43.91,61.935154,94.105614
6/28/05,43.450001,61.671937,94.895422
6/29/05,43.630001,61.650596,94.642684
6/30/05,43.439999,61.864015,94.129308
7/1/05,42.700001,61.331688,94.405739
7/5/05,42.279999,61.081938,95.163954
7/6/05,42.25,61.210381,94.366252
7/7/05,42.360001,61.353099,94.737457
7/8/05,42.259998,61.131888,95.819496
7/11/05,42.540001,61.103344,96.309179
7/12/05,42.639999,60.946362,96.561917
7/13/05,42.349998,60.889275,96.696183
7/14/05,41.900002,60.810782,97.075294
7/15/05,42.049999,60.825051,97.020001
7/18/05,42.009998,60.725151,96.632997
7/19/05,41.889999,60.810782,97.162167
7/20/05,42.200001,60.924951,97.493891
7/21/05,42.459999,60.475401,96.925228
7/22/05,42.450001,60.760832,97.572871
7/25/05,42.509998,60.653794,97.296439
7/26/05,42.25,60.696607,97.414905
7/27/05,42.439999,60.610982,97.770323
7/28/05,42.75,60.875001,98.386372
7/29/05,42.82,60.511082,97.73083
8/1/05,43.130001,60.390097,97.65975
8/2/05,43.139999,60.332826,98.244206
8/3/05,43.529999,60.483157,98.504844
8/4/05,43.68,60.440207,97.715036
8/5/05,43.599998,60.118071,97.051595
8/8/05,43.349998,59.960581,96.869942
8/9/05,43.34,60.132386,97.454398
8/10/05,43.650002,60.103751,97.407012
8/11/05,44.450001,60.361462,97.794016
8/12/05,44.490002,60.604857,97.19376
8/15/05,44.130001,60.526112,97.794016
8/16/05,44.549999,60.812452,96.522425
8/17/05,43.91,60.576222,96.514525
8/18/05,43.830002,60.898358,96.506631
8/19/05,43.599998,60.862563,96.727776
8/22/05,43.700001,60.912673,96.727776
8/23/05,43.759998,61.027213,96.546118
8/24/05,43.59,61.055848,95.68523
8/25/05,43.73,61.091638,96.032742
8/26/05,43.610001,60.991418,95.377206
8/29/05,43.57,61.034373,96.111727
8/30/05,43.009998,61.320719,95.606251
8/31/05,43.400002,61.7216,96.814656
9/1/05,44.220001,61.781922,96.74357
9/2/05,44.25,61.796288,96.569811
9/6/05,44.27,61.602386,97.699237
9/7/05,44.330002,61.401307,97.865102
9/8/05,44.599998,61.401307,97.541278
9/9/05,44.84,61.451577,98.410065
9/12/05,44.889999,61.25768,98.212613
9/13/05,44.560001,61.444394,97.66765
9/14/05,44.959999,61.315128,97.312233
9/15/05,45.419998,61.128414,97.264846
9/16/05,45.82,60.891425,97.956492
9/19/05,46.25,61.013508,97.631289
9/20/05,46.23,60.963239,96.806398
9/21/05,47.060001,61.243314,95.902185
9/22/05,46.360001,61.286401,96.243242
9/23/05,46.279999,60.948878,96.322564
9/26/05,46.57,60.790886,96.433607
9/27/05,46.25,60.82679,96.409813
9/28/05,46.799999,60.948878,96.504989
9/29/05,47.099998,60.812429,97.290232
9/30/05,46.700001,60.640076,97.591634
10/3/05,46.419998,60.407351,97.242638
10/4/05,46.450001,60.436172,96.148065
10/5/05,46.360001,60.580277,94.886922
10/6/05,47.209999,60.501021,94.545859
10/7/05,47.360001,60.580277,94.871061
10/10/05,47.369999,60.594685,94.069958
10/11/05,47.389999,60.479407,93.93512
10/12/05,46.849998,60.248844,93.197472
10/13/05,47.02,60.155175,93.14195
10/14/05,46.799999,60.155175,94.12548
10/17/05,47.259998,60.083125,94.474476
10/18/05,47,60.169588,93.451286
10/19/05,46.34,60.241638,95.005899
10/20/05,45.98,60.277665,93.33231
10/21/05,46.52,60.54425,93.697167
10/24/05,46.389999,60.284866,95.14867
10/25/05,47.060001,60.003869,94.95831
10/26/05,46.93,59.773307,94.680702
10/27/05,47.18,59.910205,93.673373
10/28/05,47.220001,59.845356,95.021765
10/31/05,46.400002,59.888591,95.283507
11/1/05,45.73,59.850989,95.569049
11/2/05,46.130001,59.728078,96.568444
11/3/05,45.959999,59.518404,96.98089
11/4/05,45.509998,59.489483,96.853986
11/7/05,45.77,59.597936,96.949169
11/8/05,45.91,59.894368,96.949169
11/9/05,46.560001,59.576246,97.076073
11/10/05,46.48,59.916063,97.829582
11/11/05,46.799999,59.988363,98.162718
11/14/05,46.619999,59.720847,98.107196
11/15/05,46.66,59.923289,97.750266
11/16/05,47.779999,60.226959,97.948559
11/17/05,48.48,60.342638,98.860705
11/18/05,48.459999,60.198038,99.249357
11/21/05,48.990002,60.313717,99.749058
11/22/05,49.32,60.523391,100.17737
11/23/05,49.150002,60.364328,100.756381
11/25/05,49.419998,60.545081,100.835697
11/28/05,49.740002,60.624613,100.121849
11/29/05,49.799999,60.292027,100.010799
11/30/05,49.099998,60.263106,99.47145
12/1/05,50.169998,60.127441,100.486706
12/2/05,50.32,60.178224,100.61361
12/5/05,50.779999,59.996855,100.399457
12/6/05,50.889999,60.27979,100.589816
12/7/05,51.32,60.24352,100.002872
12/8/05,51.900002,60.504692,99.939417
12/9/05,52.400002,60.236264,100.201164
12/12/05,52.560001,60.098422,100.296341
12/13/05,51.650002,60.24352,100.978468
12/14/05,50.349998,60.620765,101.375053
12/15/05,50.240002,60.540962,101.081584
12/16/05,50.09,60.649785,100.756248
12/19/05,50.220001,60.686061,100.237954
12/20/05,49.040001,60.584495,100.333641
12/21/05,49.369999,60.504692,100.493113
12/22/05,50.139999,60.7441,101.019383
12/23/05,50.119999,60.889193,101.075199
12/27/05,50.639999,61.179385,100.046585
12/28/05,51.470001,60.991558,100.269849
12/29/05,51.470001,61.064357,99.823321
12/30/05,51.580002,61.086201,99.281106
1/3/06,53.119999,61.07892,101.027353
1/4/06,53.299999,61.18812,101.505782
